batch	group
b1_g1_s70	batch_1	group_1
b1_g1_s71	batch_1	group_1
b1_g1_s72	batch_1	group_1
b1_g1_s73	batch_1	group_1
b1_g1_s74	batch_1	group_1
b1_g1_s75	batch_1	group_1
b1_g1_s76	batch_1	group_1
b1_g1_s77	batch_1	group_1
b1_g1_s78	batch_1	group_1
b1_g1_s79	batch_1	group_1
b1_g1_s80	batch_1	group_1
b1_g1_s81	batch_1	group_1
b1_g1_s82	batch_1	group_1
b1_g1_s83	batch_1	group_1
b1_g1_s84	batch_1	group_1
b1_g1_s85	batch_1	group_1
b1_g1_s86	batch_1	group_1
b1_g1_s87	batch_1	group_1
b1_g1_s88	batch_1	group_1
b1_g1_s89	batch_1	group_1
b1_g1_s90	batch_1	group_1
b1_g1_s91	batch_1	group_1
b1_g1_s92	batch_1	group_1
b1_g1_s93	batch_1	group_1
b1_g1_s94	batch_1	group_1
b1_g1_s95	batch_1	group_1
b1_g1_s96	batch_1	group_1
b1_g1_s97	batch_1	group_1
b1_g1_s98	batch_1	group_1
b1_g1_s99	batch_1	group_1
b1_g1_s100	batch_1	group_1
b1_g2_s1	batch_1	group_2
b1_g2_s2	batch_1	group_2
b1_g2_s3	batch_1	group_2
b1_g2_s4	batch_1	group_2
b1_g2_s5	batch_1	group_2
b1_g2_s6	batch_1	group_2
b1_g2_s7	batch_1	group_2
b1_g2_s8	batch_1	group_2
b1_g2_s9	batch_1	group_2
b1_g2_s10	batch_1	group_2
b1_g2_s11	batch_1	group_2
b1_g2_s12	batch_1	group_2
b1_g2_s13	batch_1	group_2
b1_g2_s14	batch_1	group_2
b1_g2_s15	batch_1	group_2
b1_g2_s16	batch_1	group_2
b1_g2_s17	batch_1	group_2
b1_g2_s18	batch_1	group_2
b1_g2_s19	batch_1	group_2
b1_g2_s20	batch_1	group_2
b1_g2_s21	batch_1	group_2
b1_g2_s22	batch_1	group_2
b1_g2_s23	batch_1	group_2
b1_g2_s24	batch_1	group_2
b1_g2_s25	batch_1	group_2
b1_g2_s26	batch_1	group_2
b1_g2_s27	batch_1	group_2
b1_g2_s28	batch_1	group_2
b1_g2_s29	batch_1	group_2
b1_g2_s30	batch_1	group_2
b1_g2_s31	batch_1	group_2
b1_g2_s32	batch_1	group_2
b1_g2_s33	batch_1	group_2
b1_g2_s34	batch_1	group_2
b1_g2_s35	batch_1	group_2
b1_g2_s36	batch_1	group_2
b1_g2_s37	batch_1	group_2
b1_g2_s38	batch_1	group_2
b1_g2_s39	batch_1	group_2
b1_g2_s40	batch_1	group_2
b1_g2_s41	batch_1	group_2
b1_g2_s42	batch_1	group_2
b1_g2_s43	batch_1	group_2
b1_g2_s44	batch_1	group_2
b1_g2_s45	batch_1	group_2
b1_g2_s46	batch_1	group_2
b1_g2_s47	batch_1	group_2
b1_g2_s48	batch_1	group_2
b1_g2_s49	batch_1	group_2
b1_g2_s50	batch_1	group_2
b1_g2_s51	batch_1	group_2
b1_g2_s52	batch_1	group_2
b1_g2_s53	batch_1	group_2
b1_g2_s54	batch_1	group_2
b1_g2_s55	batch_1	group_2
b1_g2_s56	batch_1	group_2
b1_g2_s57	batch_1	group_2
b1_g2_s58	batch_1	group_2
b1_g2_s59	batch_1	group_2
b1_g2_s60	batch_1	group_2
b1_g2_s61	batch_1	group_2
b1_g2_s62	batch_1	group_2
b1_g2_s63	batch_1	group_2
b1_g2_s64	batch_1	group_2
b1_g2_s65	batch_1	group_2
b1_g2_s66	batch_1	group_2
b1_g2_s67	batch_1	group_2
b1_g2_s68	batch_1	group_2
b1_g2_s69	batch_1	group_2
b1_g2_s70	batch_1	group_2
b1_g2_s71	batch_1	group_2
b1_g2_s72	batch_1	group_2
b1_g2_s73	batch_1	group_2
b1_g2_s74	batch_1	group_2
b1_g2_s75	batch_1	group_2
b1_g2_s76	batch_1	group_2
b1_g2_s77	batch_1	group_2
b1_g2_s78	batch_1	group_2
b1_g2_s79	batch_1	group_2
b1_g2_s80	batch_1	group_2
b1_g2_s81	batch_1	group_2
b1_g2_s82	batch_1	group_2
b1_g2_s83	batch_1	group_2
b1_g2_s84	batch_1	group_2
b1_g2_s85	batch_1	group_2
b1_g2_s86	batch_1	group_2
b1_g2_s87	batch_1	group_2
b1_g2_s88	batch_1	group_2
b1_g2_s89	batch_1	group_2
b1_g2_s90	batch_1	group_2
b1_g2_s91	batch_1	group_2
b1_g2_s92	batch_1	group_2
b1_g2_s93	batch_1	group_2
b1_g2_s94	batch_1	group_2
b1_g2_s95	batch_1	group_2
b1_g2_s96	batch_1	group_2
b1_g2_s97	batch_1	group_2
b1_g2_s98	batch_1	group_2
b1_g2_s99	batch_1	group_2
b1_g2_s100	batch_1	group_2
b2_g1_s1	batch_2	group_1
b2_g1_s2	batch_2	group_1
b2_g1_s3	batch_2	group_1
b2_g1_s4	batch_2	group_1
b2_g1_s5	batch_2	group_1
b2_g1_s6	batch_2	group_1
b2_g1_s7	batch_2	group_1
b2_g1_s8	batch_2	group_1
b2_g1_s9	batch_2	group_1
b2_g1_s10	batch_2	group_1
b2_g1_s11	batch_2	group_1
b2_g1_s12	batch_2	group_1
b2_g1_s13	batch_2	group_1
b2_g1_s14	batch_2	group_1
b2_g1_s15	batch_2	group_1
b2_g1_s16	batch_2	group_1
b2_g1_s17	batch_2	group_1
b2_g1_s18	batch_2	group_1
b2_g1_s19	batch_2	group_1
b2_g1_s20	batch_2	group_1
b2_g1_s21	batch_2	group_1
b2_g1_s22	batch_2	group_1
b2_g1_s23	batch_2	group_1
b2_g1_s24	batch_2	group_1
b2_g1_s25	batch_2	group_1
b2_g1_s26	batch_2	group_1
b2_g1_s27	batch_2	group_1
b2_g1_s28	batch_2	group_1
b2_g1_s29	batch_2	group_1
b2_g1_s30	batch_2	group_1
b2_g1_s31	batch_2	group_1
b2_g1_s32	batch_2	group_1
b2_g1_s33	batch_2	group_1
b2_g1_s34	batch_2	group_1
b2_g1_s35	batch_2	group_1
b2_g1_s36	batch_2	group_1
b2_g1_s37	batch_2	group_1
b2_g1_s38	batch_2	group_1
b2_g1_s39	batch_2	group_1
b2_g1_s40	batch_2	group_1
b2_g1_s41	batch_2	group_1
b2_g1_s42	batch_2	group_1
b2_g1_s43	batch_2	group_1
b2_g1_s44	batch_2	group_1
b2_g1_s45	batch_2	group_1
b2_g1_s46	batch_2	group_1
b2_g1_s47	batch_2	group_1
b2_g1_s48	batch_2	group_1
b2_g1_s49	batch_2	group_1
b2_g1_s50	batch_2	group_1
b2_g1_s51	batch_2	group_1
b2_g1_s52	batch_2	group_1
b2_g1_s53	batch_2	group_1
b2_g1_s54	batch_2	group_1
b2_g1_s55	batch_2	group_1
b2_g1_s56	batch_2	group_1
b2_g1_s57	batch_2	group_1
b2_g1_s58	batch_2	group_1
b2_g1_s59	batch_2	group_1
b2_g1_s60	batch_2	group_1
b2_g1_s61	batch_2	group_1
b2_g1_s62	batch_2	group_1
b2_g1_s63	batch_2	group_1
b2_g1_s64	batch_2	group_1
b2_g1_s65	batch_2	group_1
b2_g1_s66	batch_2	group_1
b2_g1_s67	batch_2	group_1
b2_g1_s68	batch_2	group_1
b2_g1_s69	batch_2	group_1
b2_g1_s70	batch_2	group_1
b2_g1_s71	batch_2	group_1
b2_g1_s72	batch_2	group_1
b2_g1_s73	batch_2	group_1
b2_g1_s74	batch_2	group_1
b2_g1_s75	batch_2	group_1
b2_g1_s76	batch_2	group_1
b2_g1_s77	batch_2	group_1
b2_g1_s78	batch_2	group_1
b2_g1_s79	batch_2	group_1
b2_g1_s80	batch_2	group_1
b2_g1_s81	batch_2	group_1
b2_g1_s82	batch_2	group_1
b2_g1_s83	batch_2	group_1
b2_g1_s84	batch_2	group_1
b2_g1_s85	batch_2	group_1
b2_g1_s86	batch_2	group_1
b2_g1_s87	batch_2	group_1
b2_g1_s88	batch_2	group_1
b2_g1_s89	batch_2	group_1
b2_g1_s90	batch_2	group_1
b2_g1_s91	batch_2	group_1
b2_g1_s92	batch_2	group_1
b2_g1_s93	batch_2	group_1
b2_g1_s94	batch_2	group_1
b2_g1_s95	batch_2	group_1
b2_g1_s96	batch_2	group_1
b2_g1_s97	batch_2	group_1
b2_g1_s98	batch_2	group_1
b2_g1_s99	batch_2	group_1
b2_g1_s100	batch_2	group_1
b2_g2_s1	batch_2	group_2
b2_g2_s2	batch_2	group_2
b2_g2_s3	batch_2	group_2
b2_g2_s4	batch_2	group_2
b2_g2_s5	batch_2	group_2
b2_g2_s6	batch_2	group_2
b2_g2_s7	batch_2	group_2
b2_g2_s8	batch_2	group_2
b2_g2_s9	batch_2	group_2
b2_g2_s10	batch_2	group_2
b2_g2_s11	batch_2	group_2
b2_g2_s12	batch_2	group_2
b2_g2_s13	batch_2	group_2
b2_g2_s14	batch_2	group_2
b2_g2_s15	batch_2	group_2
b2_g2_s16	batch_2	group_2
b2_g2_s17	batch_2	group_2
b2_g2_s18	batch_2	group_2
b2_g2_s19	batch_2	group_2
b2_g2_s20	batch_2	group_2
b2_g2_s21	batch_2	group_2
b2_g2_s22	batch_2	group_2
b2_g2_s23	batch_2	group_2
b2_g2_s24	batch_2	group_2
b2_g2_s25	batch_2	group_2
b2_g2_s26	batch_2	group_2
b2_g2_s27	batch_2	group_2
b2_g2_s28	batch_2	group_2
b2_g2_s29	batch_2	group_2
b2_g2_s30	batch_2	group_2
b2_g2_s31	batch_2	group_2
b2_g2_s32	batch_2	group_2
b2_g2_s33	batch_2	group_2
b2_g2_s34	batch_2	group_2
b2_g2_s35	batch_2	group_2
b2_g2_s36	batch_2	group_2
b2_g2_s37	batch_2	group_2
b2_g2_s38	batch_2	group_2
b2_g2_s39	batch_2	group_2
b2_g2_s40	batch_2	group_2
b2_g2_s41	batch_2	group_2
b2_g2_s42	batch_2	group_2
b2_g2_s43	batch_2	group_2
b2_g2_s44	batch_2	group_2
b2_g2_s45	batch_2	group_2
b2_g2_s46	batch_2	group_2
b2_g2_s47	batch_2	group_2
b2_g2_s48	batch_2	group_2
b2_g2_s49	batch_2	group_2
b2_g2_s50	batch_2	group_2
b2_g2_s51	batch_2	group_2
b2_g2_s52	batch_2	group_2
b2_g2_s53	batch_2	group_2
b2_g2_s54	batch_2	group_2
b2_g2_s55	batch_2	group_2
b2_g2_s56	batch_2	group_2
b2_g2_s57	batch_2	group_2
b2_g2_s58	batch_2	group_2
b2_g2_s59	batch_2	group_2
b2_g2_s60	batch_2	group_2
b2_g2_s61	batch_2	group_2
b2_g2_s62	batch_2	group_2
b2_g2_s63	batch_2	group_2
b2_g2_s64	batch_2	group_2
b2_g2_s65	batch_2	group_2
b2_g2_s66	batch_2	group_2
b2_g2_s67	batch_2	group_2
b2_g2_s68	batch_2	group_2
b2_g2_s69	batch_2	group_2
b2_g2_s70	batch_2	group_2
b2_g2_s71	batch_2	group_2
b2_g2_s72	batch_2	group_2
b2_g2_s73	batch_2	group_2
b2_g2_s74	batch_2	group_2
b2_g2_s75	batch_2	group_2
b2_g2_s76	batch_2	group_2
b2_g2_s77	batch_2	group_2
b2_g2_s78	batch_2	group_2
b2_g2_s79	batch_2	group_2
b2_g2_s80	batch_2	group_2
b2_g2_s81	batch_2	group_2
b2_g2_s82	batch_2	group_2
b2_g2_s83	batch_2	group_2
b2_g2_s84	batch_2	group_2
b2_g2_s85	batch_2	group_2
b2_g2_s86	batch_2	group_2
b2_g2_s87	batch_2	group_2
b2_g2_s88	batch_2	group_2
b2_g2_s89	batch_2	group_2
b2_g2_s90	batch_2	group_2
b2_g2_s91	batch_2	group_2
b2_g2_s92	batch_2	group_2
b2_g2_s93	batch_2	group_2
b2_g2_s94	batch_2	group_2
b2_g2_s95	batch_2	group_2
b2_g2_s96	batch_2	group_2
b2_g2_s97	batch_2	group_2
b2_g2_s98	batch_2	group_2
b2_g2_s99	batch_2	group_2
b2_g2_s100	batch_2	group_2
